UserId,Nombre,Nivel,Preferencias
U1,Jared,Avanzado,lecciones cortas;lectura
U2,Joseph,Avanzado,lecciones cortas;lectura
U3,Shannon,Avanzado,lecciones cortas;lectura
U4,Michael,Avanzado,escucha;lectura
U5,Anna,Básico,lecciones cortas;lectura
U6,Dennis,Avanzado,escucha;ejercicios prácticos
U7,Jessica,Básico,ejercicios prácticos;lectura
U8,Norma,Intermedio,lecciones cortas;ejercicios prácticos
U9,Meagan,Intermedio,ejercicios prácticos;lecciones cortas
U10,Matthew,Avanzado,ejercicios prácticos;lectura
U11,Kathryn,Avanzado,lecciones cortas;escucha
U12,Eugene,Básico,ejercicios prácticos;escucha
U13,Dalton,Avanzado,escucha;lectura
U14,Michelle,Avanzado,lectura;escucha
U15,Heather,Avanzado,escucha;ejercicios prácticos
U16,Joseph,Avanzado,ejercicios prácticos;lecciones cortas
U17,Marcus,Básico,escucha;lecciones cortas
U18,Morgan,Básico,escucha;ejercicios prácticos
U19,Jessica,Avanzado,ejercicios prácticos;lecciones cortas
U20,Alex,Avanzado,lecciones cortas;escucha
U21,Randy,Básico,ejercicios prácticos;lectura
U22,Christian,Intermedio,escucha;lecciones cortas
U23,Jay,Básico,ejercicios prácticos;lectura
U24,Kevin,Básico,ejercicios prácticos;escucha
U25,Mark,Intermedio,lecciones cortas;escucha
U26,Russell,Básico,lectura;lecciones cortas
U27,Robert,Intermedio,ejercicios prácticos;escucha
U28,Shelley,Avanzado,lecciones cortas;escucha
U29,Shelley,Básico,lecciones cortas;escucha
U30,Lisa,Intermedio,ejercicios prácticos;escucha
U31,Linda,Básico,ejercicios prácticos;lectura
U32,Kyle,Básico,escucha;lecciones cortas
U33,Christopher,Básico,ejercicios prácticos;escucha
U34,Ashley,Avanzado,ejercicios prácticos;lectura
U35,Brandi,Avanzado,lecciones cortas;lectura
U36,Gary,Básico,ejercicios prácticos;lectura
U37,Destiny,Avanzado,ejercicios prácticos;lectura
U38,Richard,Avanzado,escucha;lectura
U39,Penny,Básico,ejercicios prácticos;escucha
U40,David,Intermedio,lecciones cortas;lectura
U41,Joshua,Intermedio,lectura;escucha
U42,Sherry,Intermedio,ejercicios prácticos;lectura
U43,Erica,Intermedio,lectura;ejercicios prácticos
U44,Kristi,Avanzado,lectura;lecciones cortas
U45,Lauren,Avanzado,escucha;lecciones cortas
U46,Phillip,Avanzado,escucha;lectura
U47,Richard,Básico,ejercicios prácticos;lecciones cortas
U48,Rachael,Avanzado,lectura;lecciones cortas
U49,Jackie,Básico,lectura;escucha
U50,Michele,Intermedio,lecciones cortas;ejercicios prácticos
U51,Tonya,Avanzado,lectura;lecciones cortas
U52,Robin,Intermedio,lectura;escucha
U53,Destiny,Avanzado,escucha;lecciones cortas
U54,Jennifer,Intermedio,lectura;lecciones cortas
U55,Duane,Intermedio,lecciones cortas;escucha
U56,John,Básico,lectura;ejercicios prácticos
U57,Michael,Avanzado,lectura;escucha
U58,Michael,Intermedio,ejercicios prácticos;lectura
U59,Courtney,Básico,escucha;lectura
U60,Erika,Básico,escucha;lectura
U61,James,Básico,lectura;lecciones cortas
U62,Justin,Avanzado,lecciones cortas;ejercicios prácticos
U63,Justin,Intermedio,escucha;lectura
U64,Crystal,Avanzado,lectura;lecciones cortas
U65,Megan,Avanzado,escucha;ejercicios prácticos
U66,John,Básico,escucha;ejercicios prácticos
U67,Mary,Avanzado,ejercicios prácticos;lecciones cortas
U68,Jennifer,Básico,lectura;ejercicios prácticos
U69,Jennifer,Intermedio,escucha;ejercicios prácticos
U70,Richard,Intermedio,lecciones cortas;escucha
U71,Laura,Básico,escucha;ejercicios prácticos
U72,Sydney,Intermedio,lectura;ejercicios prácticos
U73,Misty,Intermedio,ejercicios prácticos;lectura
U74,Jacob,Básico,ejercicios prácticos;lectura
U75,Caroline,Básico,escucha;lecciones cortas
U76,John,Intermedio,ejercicios prácticos;escucha
U77,Kevin,Básico,lectura;ejercicios prácticos
U78,Kathryn,Intermedio,lecciones cortas;ejercicios prácticos
U79,Sarah,Avanzado,ejercicios prácticos;lectura
U80,Wayne,Básico,ejercicios prácticos;escucha
U81,Zachary,Básico,ejercicios prácticos;lecciones cortas
U82,Kristen,Básico,lectura;lecciones cortas
U83,Lauren,Básico,lectura;lecciones cortas
U84,Mary,Intermedio,escucha;lectura
U85,James,Básico,lectura;ejercicios prácticos
U86,Peter,Básico,escucha;lectura
U87,Gary,Intermedio,lectura;escucha
U88,Christine,Intermedio,escucha;lecciones cortas
U89,Elizabeth,Avanzado,lecciones cortas;escucha
U90,Jonathan,Avanzado,ejercicios prácticos;lectura
U91,Hannah,Intermedio,ejercicios prácticos;lectura
U92,Tammy,Intermedio,lectura;lecciones cortas
U93,Linda,Básico,escucha;lectura
U94,Michelle,Básico,ejercicios prácticos;lectura
U95,Allison,Básico,ejercicios prácticos;lecciones cortas
U96,Brandon,Básico,ejercicios prácticos;lecciones cortas
U97,Mark,Básico,lecciones cortas;ejercicios prácticos
U98,Douglas,Básico,lectura;escucha
U99,Gina,Intermedio,lectura;ejercicios prácticos
U100,Mary,Avanzado,lectura;escucha
