resena_id,cliente_id,libro_id,calificacion,comentario,fecha_resena
1,549,978-84-938-4620-5,2,Não prende a atenção.,2024-01-27
2,549,978-0-06-245771-4,5,Cinco estrelas sem pensar duas vezes.,2024-03-14
3,549,978-1-59327-950-9,4,Leitura muito agradável.,2024-03-08
4,160,978-1-61-729443-3,3,"Leitura leve, nada especial.",2024-02-10
5,954,978-85-508-0460-8,2,La trama no engancha.,2024-02-01
6,954,978-0-59-600920-5,3,Tiene partes buenas y partes flojas.,2024-01-14
7,954,978-0-307-58846-7,1,No me gustó nada.,2024-01-31
8,879,978-0-59-600920-5,3,"Simples, direto, razoável.",2024-01-26
9,879,978-84-664-0542-1,4,Muito bom!,2024-01-23
10,879,978-84-663-5341-8,3,Nada surpreendente.,2024-02-13
11,786,978-1-61-729608-6,5,An emotional and powerful book.,2024-01-30
12,786,978-0-06-245771-4,5,Absolutely amazing.,2024-01-24
13,786,978-1-49-205387-1,4,Very entertaining.,2024-02-10
14,711,978-84-663-4265-8,4,Muito bom!,2024-02-03
15,711,978-0-452-28423-4,4,Leitura muito agradável.,2024-03-08
16,154,978-0-15-601219-5,3,I liked some chapters a lot.,2024-02-21
17,67,978-0-7432-7357-2,4,Gostei bastante.,2024-01-23
18,67,978-1-49-207126-4,4,Excelente quase o livro todo.,2024-01-30
19,67,978-84-663-5341-8,5,Amei cada capítulo.,2024-02-15
20,371,978-84-204-8065-2,5,Muito emocionante.,2024-01-17
21,161,978-84-938-4620-5,2,Não prende a atenção.,2024-01-21
22,161,978-0-7432-7356-5,4,História bem construída.,2024-01-15
23,161,978-84-664-0542-1,1,Chato e arrastado.,2024-01-28
24,917,978-1-25-014405-8,5,Superó mis expectativas.,2024-02-18
25,629,978-1-61-729454-9,4,Leitura muito agradável.,2024-03-19
26,629,978-84-670-5504-3,4,Fácil de recomendar.,2024-03-09
27,629,978-1-49-207126-4,4,Ótimos personagens.,2024-02-01
28,944,978-84-938-4620-5,5,"No tengo quejas, solo elogios.",2024-03-03
29,944,978-84-663-4265-8,3,Un libro promedio.,2024-02-26
30,944,978-1-61-729454-9,5,Superó mis expectativas.,2024-02-10
31,684,978-0-06-245771-4,1,Não vale o tempo.,2024-03-01
32,684,978-1-61-729443-3,5,Maravilhoso.,2024-03-03
33,684,978-0-07-352340-8,4,Me surpreendeu positivamente.,2024-02-12
34,3,978-1-59-327599-0,2,Me dejó una sensación amarga.,2024-02-13
35,775,978-0-14-310595-4,2,Me dejó una sensación amarga.,2024-01-28
36,209,978-1-61-729608-6,3,Bom para passar o tempo.,2024-01-30
37,209,978-0-452-28831-7,1,Muito ruim.,2024-02-13
38,209,978-1-49-192912-2,4,Me surpreendeu positivamente.,2024-03-03
39,193,978-0-7432-7357-2,2,Personagens sem profundidade.,2024-02-14
40,219,978-1-49-192912-2,3,Regular.,2024-02-05
41,219,978-0-15-601219-5,5,Muito emocionante.,2024-02-29
42,219,978-1-49-205387-1,1,Muito ruim.,2024-03-12
43,219,978-84-670-5504-3,4,Muito bom!,2024-01-23
44,219,978-0-13-468599-1,5,Cinco estrelas sem pensar duas vezes.,2024-02-17
45,91,978-0-06-245771-4,4,Excelente quase o livro todo.,2024-03-01
46,91,978-84-664-0542-1,2,"Tem boas ideias, mas execução fraca.",2024-01-16
47,91,978-1-32-400189-1,4,Muito bom!,2024-02-12
48,91,978-84-663-4265-8,5,Uma verdadeira obra-prima.,2024-02-16
49,168,978-0-7432-7357-2,5,Excelente!,2024-01-24
50,82,978-0-525-51823-7,5,Excelente! Lo amé.,2024-02-01
51,954,978-84-9838-137-0,5,Perfecto de principio a fin.,2024-01-28
52,954,978-84-204-8527-5,5,Una obra maestra moderna.,2024-02-22
53,120,978-84-376-0494-7,3,Average experience.,2024-02-13
54,61,978-84-9838-137-0,1,Chato e arrastado.,2024-01-29
55,61,978-0-13-468599-1,1,Um dos piores que já li.,2024-02-04
56,27,978-1-59327-992-9,5,Amei cada capítulo.,2024-02-18
57,27,978-84-670-5504-3,4,Muito bom!,2024-01-22
58,98,978-0-15-601219-5,4,Excelente quase o livro todo.,2024-01-31
59,98,978-84-670-5504-3,5,Uma verdadeira obra-prima.,2024-03-14
60,655,978-84-204-8065-2,3,Algumas partes me agradaram.,2024-01-19
61,655,978-0-385-07473-3,5,Simplesmente magnífico.,2024-01-19
62,201,978-1-59327-992-9,4,Fácil de recomendar.,2024-02-08
63,833,978-84-664-0542-1,3,Cumpre o básico.,2024-02-18
64,285,978-0-06-231609-7,5,Me emocionó muchísimo.,2024-02-08
65,285,978-1-25-014405-8,4,Lectura atrapante casi todo el tiempo.,2024-01-25
66,494,978-1-61-729454-9,3,Una lectura rápida y ligera.,2024-02-15
67,302,978-0-14-044926-6,2,"Le faltó desarrollo, quedó incompleto.",2024-02-22
68,388,978-0-525-51823-7,1,Overhyped and underdelivered.,2024-02-07
69,388,978-0-7432-7356-5,1,Pretty much unreadable.,2024-03-03
70,477,978-0-307-58846-7,5,Una joya absoluta.,2024-02-08
71,181,978-0-06-245771-4,5,Uma verdadeira obra-prima.,2024-02-06
72,3,978-1-49-205387-1,4,Gran desarrollo de personajes.,2024-02-21
73,755,978-1-49-205387-1,2,Leitura esquecível.,2024-03-07
74,821,978-1-49-192912-2,3,Decent for the price.,2024-03-05
75,821,978-84-376-0494-7,5,Highly recommended!,2024-02-02
76,821,978-1-59327-992-9,1,Poor editing and tons of errors.,2024-02-23
77,821,978-1-59327-950-9,4,Well written and engaging.,2024-03-05
78,296,978-84-204-8527-5,5,Uma verdadeira obra-prima.,2024-03-10
79,623,978-0-14-310497-1,1,Não vale o tempo.,2024-03-01
80,945,978-84-663-4265-8,3,"Fair, but nothing amazing.",2024-03-11
81,945,978-1-59-327599-0,4,Very entertaining.,2024-03-06
82,350,978-84-663-4265-8,4,"Very good, recommended.",2024-02-08
83,162,978-0-452-28423-4,4,Ótimos personagens.,2024-03-10
84,162,978-0-14-044926-6,1,Chato e arrastado.,2024-03-18
85,18,978-0-14-044926-6,4,Really good storytelling.,2024-03-11
86,18,978-84-204-8527-5,5,A true gem.,2024-03-13
87,18,978-0-525-51823-7,1,Really bad.,2024-03-06
88,829,978-1-61-729454-9,3,Nada surpreendente.,2024-02-10
89,829,978-1-49-207126-4,4,Gostei bastante.,2024-03-11
90,829,978-84-204-8527-5,3,Está ok.,2024-03-22
91,292,978-85-508-0460-8,5,Loved every second of it.,2024-03-20
92,280,978-0-15-601219-5,5,An emotional and powerful book.,2024-03-04
93,566,978-84-9838-137-0,5,De esos libros que te cambian el día.,2024-01-25
94,566,978-0-452-28831-7,5,Simplemente maravilloso.,2024-01-25
95,434,978-84-376-0494-7,3,"Predecible, pero disfrutable.",2024-01-18
96,434,978-0-14-310497-1,5,Excelente! Lo amé.,2024-01-05
97,65,978-1-59327-950-9,1,Bem abaixo do esperado.,2024-02-20
98,65,978-1-49-207126-4,4,Me surpreendeu positivamente.,2024-02-22
99,65,978-0-14-044926-6,5,Maravilhoso.,2024-02-12
100,65,978-84-663-5341-8,4,Recomendado.,2024-02-15
101,890,978-0-307-58846-7,3,Predictable but pleasant.,2024-03-05
102,890,978-1-49-205387-1,2,A very average experience.,2024-02-10
103,685,978-0-14-310497-1,1,Terrible quality.,2024-02-01
104,404,978-84-663-4265-8,5,Leitura obrigatória.,2024-01-25
105,404,978-0-06-245771-4,5,Muito emocionante.,2024-03-02
106,893,978-0-7432-7356-5,4,Recomendado.,2024-02-07
107,95,978-84-663-4265-8,4,Fácil de recomendar.,2024-03-27
108,95,978-84-670-5504-3,4,Bem escrito e envolvente.,2024-03-10
109,424,978-84-204-8527-5,4,Fácil de recomendar.,2024-02-02
110,215,978-0-13-468599-1,3,"Fair, but nothing amazing.",2024-03-15
111,189,978-84-663-4265-8,3,Aceitável considerando o preço.,2024-02-23
112,189,978-1-25-014405-8,5,Amei cada capítulo.,2024-03-10
113,189,978-0-59-600920-5,1,Não gostei.,2024-02-05
114,311,978-84-938-4620-5,5,De esos libros que te cambian el día.,2024-03-06
115,311,978-1-49-207126-4,2,Regular tirando a malo.,2024-01-13
116,311,978-0-14-310497-1,5,Una historia que no olvidaré fácilmente.,2024-03-04
117,311,978-0-14-310595-4,5,La mejor compra que pude haber hecho.,2024-03-02
118,886,978-1-49-204579-1,5,Superou expectativas.,2024-01-17
119,886,978-0-452-28423-4,3,Regular.,2024-01-31
120,886,978-1-49-205387-1,5,Excelente!,2024-01-29
121,918,978-0-06-231609-7,4,"Tiene mucho corazón, realmente disfruté.",2024-03-05
122,918,978-0-06-245771-4,5,De esos libros que te cambian el día.,2024-03-13
123,918,978-84-670-5504-3,5,La mejor compra que pude haber hecho.,2024-02-14
124,814,978-1-25-014405-8,4,I was hooked most of the time.,2024-02-04
125,814,978-0-15-601219-5,4,Well written and engaging.,2024-02-27
126,814,978-84-663-5341-8,5,Five stars without hesitation.,2024-02-10
127,814,978-84-663-4265-8,4,I was hooked most of the time.,2024-01-19
128,828,978-0-06-245771-4,4,I was hooked most of the time.,2024-02-29
129,828,978-84-663-4265-8,3,"A simple, light read.",2024-01-28
130,828,978-1-59327-950-9,5,One of my all-time favorites.,2024-02-29
131,828,978-0-13-468599-1,5,A true gem.,2024-02-23
132,768,978-85-508-0460-8,3,Entretenimento razoável.,2024-02-27
133,299,978-0-385-07473-3,2,Mediocre overall.,2024-02-17
134,299,978-84-204-8527-5,1,One of the worst books I've read.,2024-02-13
135,364,978-0-7432-7358-9,5,Uma verdadeira obra-prima.,2024-01-22
136,364,978-1-61-729454-9,4,Leitura muito agradável.,2024-01-21
137,364,978-1-59327-992-9,5,Maravilhoso.,2024-03-03
138,783,978-1-49-207126-4,5,Excellent!,2024-01-21
139,264,978-1-61-729608-6,1,A disaster from start to finish.,2024-02-23
140,264,978-0-07-352340-8,5,Beautifully written.,2024-02-19
141,264,978-1-49-207126-4,1,Overhyped and underdelivered.,2024-03-06
142,264,978-84-204-8527-5,1,"Very boring, couldn’t connect.",2024-03-10
143,426,978-0-7432-7356-5,1,Totalmente decepcionante.,2024-02-24
144,191,978-0-14-044926-6,3,Bom para passar o tempo.,2024-02-21
145,614,978-1-59327-950-9,5,La mejor compra que pude haber hecho.,2024-03-19
146,614,978-84-376-0494-7,5,Obra espectacular.,2024-02-22
147,614,978-84-663-5341-8,5,Lo recomiendo a todo el mundo.,2024-02-08
148,614,978-1-59327-992-9,5,De los mejores que he leído en años.,2024-03-01
149,862,978-0-14-044926-6,1,El peor libro del año para mí.,2024-02-03
150,475,978-1-25-014405-8,1,Nothing redeemable here.,2024-03-21
151,166,978-1-59327-992-9,5,Un libro que releería mil veces.,2024-03-01
152,166,978-0-7432-7356-5,1,Realmente decepcionante.,2024-01-30
153,166,978-0-525-51823-7,5,Perfecto de principio a fin.,2024-02-14
154,706,978-1-49-207126-4,3,"Solid, but not memorable.",2024-02-03
155,706,978-0-452-28423-4,3,"Good in parts, weak in others.",2024-02-25
156,732,978-84-663-4265-8,4,Very entertaining.,2024-03-09
157,660,978-84-938-4620-5,5,A brilliant work.,2024-03-14
158,660,978-1-59327-992-9,5,Perfect from start to finish.,2024-03-05
159,21,978-0-7432-7358-9,4,A delightful read.,2024-01-17
160,21,978-0-06-231609-7,3,Not bad at all.,2024-01-23
161,488,978-84-663-4265-8,3,Nada surpreendente.,2024-03-04
162,488,978-0-06-231609-7,4,Excelente quase o livro todo.,2024-01-13
163,752,978-0-385-07473-3,4,Impressed me more than expected.,2024-01-29
164,752,978-0-14-044926-6,5,A book I’ll never forget.,2024-02-11
165,536,978-84-938-4620-5,5,Cinco estrelas sem pensar duas vezes.,2024-01-21
166,536,978-0-452-28831-7,5,Maravilhoso.,2024-03-11
167,536,978-1-59327-950-9,4,Excelente quase o livro todo.,2024-03-13
168,622,978-85-508-0460-8,5,Uma verdadeira obra-prima.,2024-03-05
169,622,978-1-59327-992-9,5,Um dos melhores que já li.,2024-02-23
170,901,978-84-376-0494-7,5,Cinco estrelas sem pensar duas vezes.,2024-01-19
171,901,978-84-670-5504-3,5,Muito emocionante.,2024-02-19
172,901,978-0-06-245771-4,5,Amei cada capítulo.,2024-01-31
173,839,978-0-452-28831-7,4,Fácil de recomendar.,2024-02-23
174,839,978-84-376-0494-7,1,Muito ruim.,2024-02-17
175,909,978-84-664-0542-1,5,Five stars without hesitation.,2024-03-24
176,909,978-1-59327-950-9,3,It's ok.,2024-03-26
177,909,978-1-49-207126-4,5,One of my all-time favorites.,2024-03-25
178,746,978-0-7432-7356-5,4,Overall very solid.,2024-03-07
179,746,978-85-508-0460-8,4,I liked it a lot.,2024-03-12
180,518,978-1-49-205387-1,1,Não gostei.,2024-03-08
181,934,978-84-664-0542-1,5,Uma obra incrível!,2024-01-13
182,113,978-0-14-310497-1,5,Excellent!,2024-03-15
183,113,978-0-7432-7358-9,2,An okay read but not satisfying.,2024-02-27
184,113,978-84-938-4620-5,2,Predictable and slow.,2024-02-13
185,238,978-1-61-729443-3,4,Me surpreendeu positivamente.,2024-02-17
186,238,978-0-15-601219-5,5,Perfeito do início ao fim.,2024-02-18
187,238,978-84-9838-137-0,5,Leitura obrigatória.,2024-01-26
188,282,978-1-61-729443-3,3,Cumpre o básico.,2024-02-27
189,306,978-0-452-28831-7,1,Muy mala calidad.,2024-01-27
190,306,978-0-385-07473-3,4,Cumple ampliamente.,2024-02-25
191,306,978-1-49-205387-1,5,"No tengo quejas, solo elogios.",2024-02-15
192,306,978-84-664-0542-1,2,Esperaba muchísimo más.,2024-02-07
193,306,978-0-7432-7358-9,4,Una lectura que disfruté mucho.,2024-03-06
194,440,978-0-385-07473-3,4,"Very good, recommended.",2024-02-10
195,87,978-1-61-729443-3,5,Personajes increíbles y gran narrativa.,2024-03-04
196,87,978-1-59327-992-9,3,"Está bien, nada especial.",2024-02-27
197,87,978-84-670-5504-3,2,Tiene algunos momentos pero no alcanza.,2024-03-08
198,481,978-1-61-729443-3,2,"Mediano, com falhas claras.",2024-02-12
199,481,978-1-25-014405-8,5,Um dos melhores que já li.,2024-03-11
200,411,978-0-7432-7358-9,3,Un libro promedio.,2024-01-20
201,209,978-1-25-014405-8,5,Perfeito do início ao fim.,2024-03-07
202,209,978-0-06-231609-7,4,Excelente quase o livro todo.,2024-03-12
203,209,978-0-14-310595-4,5,Um dos melhores que já li.,2024-01-25
204,83,978-1-61-729443-3,4,"Tiene mucho corazón, realmente disfruté.",2024-01-31
205,83,978-84-204-8065-2,4,"Muy bueno, recomendado.",2024-02-29
206,83,978-0-13-468599-1,4,Cumple ampliamente.,2024-02-08
207,267,978-0-13-468599-1,4,Great pacing and characters.,2024-01-15
208,267,978-1-61-729454-9,5,Absolutely amazing.,2024-01-21
209,192,978-0-307-58846-7,4,Impressed me more than expected.,2024-02-16
210,130,978-1-59-327599-0,5,Cinco estrelas sem pensar duas vezes.,2024-02-26
211,130,978-0-06-231609-7,5,Um dos melhores que já li.,2024-02-25
212,130,978-0-13-468599-1,2,Esperava mais.,2024-02-25
213,671,978-0-525-51823-7,5,Superou expectativas.,2024-02-16
214,671,978-1-59327-992-9,3,Cumpre o básico.,2024-02-28
